pair_index,schedule_entry_bar_utc,schedule_exit_bar_utc
1,2024-12-24T16:00:00+00:00,2024-12-26T12:00:00+00:00
2,2024-12-25T00:00:00+00:00,2024-12-26T12:00:00+00:00
3,2024-12-25T16:00:00+00:00,2024-12-26T12:00:00+00:00
4,2025-01-30T04:00:00+00:00,2025-01-31T20:00:00+00:00
5,2025-02-03T20:00:00+00:00,2025-02-04T08:00:00+00:00
6,2025-02-11T08:00:00+00:00,2025-02-11T20:00:00+00:00
7,2025-02-13T00:00:00+00:00,2025-02-13T12:00:00+00:00
8,2025-02-14T20:00:00+00:00,2025-02-17T00:00:00+00:00
9,2025-02-15T04:00:00+00:00,2025-02-17T00:00:00+00:00
10,2025-02-20T04:00:00+00:00,2025-02-21T20:00:00+00:00
11,2025-03-02T16:00:00+00:00,2025-03-03T20:00:00+00:00
12,2025-03-14T16:00:00+00:00,2025-03-16T12:00:00+00:00
13,2025-03-15T04:00:00+00:00,2025-03-16T12:00:00+00:00
14,2025-03-15T16:00:00+00:00,2025-03-16T12:00:00+00:00
15,2025-04-01T16:00:00+00:00,2025-04-03T00:00:00+00:00
16,2025-06-16T08:00:00+00:00,2025-06-17T16:00:00+00:00
17,2025-06-17T04:00:00+00:00,2025-06-17T16:00:00+00:00
18,2025-06-20T12:00:00+00:00,2025-06-20T16:00:00+00:00
19,2025-06-24T00:00:00+00:00,2025-07-01T12:00:00+00:00
20,2025-08-22T16:00:00+00:00,2025-08-24T20:00:00+00:00
21,2025-08-23T08:00:00+00:00,2025-08-24T20:00:00+00:00
22,2025-08-28T08:00:00+00:00,2025-08-29T08:00:00+00:00
23,2025-09-02T04:00:00+00:00,2025-09-04T16:00:00+00:00
24,2025-09-02T16:00:00+00:00,2025-09-04T16:00:00+00:00
25,2025-10-20T04:00:00+00:00,2025-10-21T08:00:00+00:00
26,2025-10-21T16:00:00+00:00,2025-10-22T12:00:00+00:00
27,2025-11-09T16:00:00+00:00,2025-11-11T20:00:00+00:00
28,2026-01-28T00:00:00+00:00,2026-01-29T04:00:00+00:00
29,2026-01-28T12:00:00+00:00,2026-01-29T04:00:00+00:00
30,2026-02-14T08:00:00+00:00,2026-02-16T16:00:00+00:00
31,2026-02-21T16:00:00+00:00,2026-02-23T04:00:00+00:00
32,2026-02-25T16:00:00+00:00,2026-02-27T20:00:00+00:00
33,2026-02-26T20:00:00+00:00,2026-02-27T20:00:00+00:00
34,2026-02-27T04:00:00+00:00,2026-02-27T20:00:00+00:00
35,2026-03-23T20:00:00+00:00,2026-03-24T20:00:00+00:00
36,2026-03-24T08:00:00+00:00,2026-03-24T20:00:00+00:00
37,2026-03-25T08:00:00+00:00,2026-03-26T12:00:00+00:00
38,2026-03-26T00:00:00+00:00,2026-03-26T12:00:00+00:00
39,2026-04-01T00:00:00+00:00,2026-04-02T04:00:00+00:00
