combined_trade_no,leg,source_trade_no,signal_entry_utc,signal_exit_utc,fill_entry_utc,fill_exit_utc,spot_usd_entry,spot_usd_exit,pnl_net_usd,fees_usd,exit_kind
1,bull,1,2024-11-06T04:00:00+00:00,2024-11-25T20:00:00+00:00,2024-11-06T04:00:00+00:00,2024-11-22T08:00:00+00:00,74777.0,99515.0,22610.147100000002,34.8584,expiry
2,bear,1,2024-12-24T16:00:00+00:00,2024-12-26T12:00:00+00:00,2024-12-24T16:00:00+00:00,2024-12-26T12:00:00+00:00,99547.0,96672.0,1119.922200000001,39.24380000000001,bid
3,bear,2,2024-12-25T00:00:00+00:00,2024-12-26T12:00:00+00:00,2024-12-25T00:00:00+00:00,2024-12-26T12:00:00+00:00,99758.0,96672.0,1394.2560000000012,39.286,bid
4,bear,3,2024-12-25T16:00:00+00:00,2024-12-26T12:00:00+00:00,2024-12-25T16:00:00+00:00,2024-12-26T12:00:00+00:00,99615.0,96672.0,1311.1146000000012,39.257400000000004,bid
5,bear,4,2025-01-30T04:00:00+00:00,2025-01-31T20:00:00+00:00,2025-01-30T04:00:00+00:00,2025-01-31T20:00:00+00:00,106220.0,103105.0,1102.5649999999985,41.865,bid
6,bear,5,2025-02-03T20:00:00+00:00,2025-02-04T08:00:00+00:00,2025-02-03T20:00:00+00:00,2025-02-04T08:00:00+00:00,102637.0,98957.0,1902.6522000000014,40.318799999999996,bid
7,bear,6,2025-02-11T08:00:00+00:00,2025-02-11T20:00:00+00:00,2025-02-11T08:00:00+00:00,2025-02-11T20:00:00+00:00,99318.0,95992.0,1436.988000000003,39.062,bid
8,bear,7,2025-02-13T00:00:00+00:00,2025-02-13T12:00:00+00:00,2025-02-13T00:00:00+00:00,2025-02-13T12:00:00+00:00,98811.0,96809.0,901.3629999999991,39.124,bid
9,bear,8,2025-02-14T20:00:00+00:00,2025-02-17T00:00:00+00:00,2025-02-14T20:00:00+00:00,2025-02-17T00:00:00+00:00,98871.0,96991.0,432.96460000000064,39.172399999999996,bid
10,bear,9,2025-02-15T04:00:00+00:00,2025-02-17T00:00:00+00:00,2025-02-15T04:00:00+00:00,2025-02-17T00:00:00+00:00,98577.0,96991.0,268.20940000000036,39.113600000000005,bid
11,bear,10,2025-02-20T04:00:00+00:00,2025-02-21T20:00:00+00:00,2025-02-20T04:00:00+00:00,2025-02-21T20:00:00+00:00,97752.0,95757.0,647.5512000000007,38.701800000000006,bid
12,bear,11,2025-03-02T16:00:00+00:00,2025-03-03T20:00:00+00:00,2025-03-02T16:00:00+00:00,2025-03-03T20:00:00+00:00,87800.0,85954.0,1010.7722000000002,34.7508,bid
13,bear,12,2025-03-14T16:00:00+00:00,2025-03-16T12:00:00+00:00,2025-03-14T16:00:00+00:00,2025-03-16T12:00:00+00:00,85228.0,82748.0,904.6108,33.595200000000006,bid
14,bear,13,2025-03-15T04:00:00+00:00,2025-03-16T12:00:00+00:00,2025-03-15T04:00:00+00:00,2025-03-16T12:00:00+00:00,84907.0,82748.0,768.7264999999996,33.531000000000006,bid
15,bear,14,2025-03-15T16:00:00+00:00,2025-03-16T12:00:00+00:00,2025-03-15T16:00:00+00:00,2025-03-16T12:00:00+00:00,84710.0,82748.0,493.4584000000007,33.491600000000005,bid
16,bear,15,2025-04-01T16:00:00+00:00,2025-04-03T00:00:00+00:00,2025-04-01T16:00:00+00:00,2025-04-03T00:00:00+00:00,85511.0,82594.0,1595.3004999999994,33.621,bid
17,bull,2,2025-04-21T00:00:00+00:00,2025-05-04T12:00:00+00:00,2025-04-21T00:00:00+00:00,2025-05-02T08:00:00+00:00,85341.0,96486.0,9755.879599999998,36.3654,expiry
18,bear,16,2025-06-16T08:00:00+00:00,2025-06-17T16:00:00+00:00,2025-06-16T08:00:00+00:00,2025-06-17T16:00:00+00:00,107671.0,104774.0,1252.2165,42.489000000000004,bid
19,bear,17,2025-06-17T04:00:00+00:00,2025-06-17T16:00:00+00:00,2025-06-17T04:00:00+00:00,2025-06-17T16:00:00+00:00,108211.0,104774.0,1697.2080000000012,42.59700000000001,bid
20,bear,18,2025-06-20T12:00:00+00:00,2025-06-20T16:00:00+00:00,2025-06-20T12:00:00+00:00,2025-06-20T16:00:00+00:00,106405.0,104623.0,778.2253999999987,42.205600000000004,bid
21,bear,19,2025-06-24T00:00:00+00:00,2025-07-01T12:00:00+00:00,2025-06-24T00:00:00+00:00,2025-07-01T12:00:00+00:00,105696.0,106845.0,-1832.4402000000007,42.5082,bid
22,bear,20,2025-08-22T16:00:00+00:00,2025-08-24T20:00:00+00:00,2025-08-22T16:00:00+00:00,2025-08-24T20:00:00+00:00,117330.0,113586.0,2254.276799999999,46.1832,bid
23,bear,21,2025-08-23T08:00:00+00:00,2025-08-24T20:00:00+00:00,2025-08-23T08:00:00+00:00,2025-08-24T20:00:00+00:00,116757.0,113586.0,1700.975399999999,46.0686,bid
24,bear,22,2025-08-28T08:00:00+00:00,2025-08-29T08:00:00+00:00,2025-08-28T08:00:00+00:00,2025-08-29T08:00:00+00:00,114022.0,110690.0,1462.5025999999998,44.942400000000006,bid
25,bear,23,2025-09-02T04:00:00+00:00,2025-09-04T16:00:00+00:00,2025-09-02T04:00:00+00:00,2025-09-04T16:00:00+00:00,110897.0,109831.0,227.25040000000064,44.1456,bid
26,bear,24,2025-09-02T16:00:00+00:00,2025-09-04T16:00:00+00:00,2025-09-02T16:00:00+00:00,2025-09-04T16:00:00+00:00,111325.0,109831.0,583.7653000000003,44.2312,bid
27,bull,3,2025-09-29T04:00:00+00:00,2025-10-08T04:00:00+00:00,2025-09-29T04:00:00+00:00,2025-10-08T04:00:00+00:00,112063.0,121516.0,7697.301699999999,46.7158,bid
28,bear,25,2025-10-20T04:00:00+00:00,2025-10-21T08:00:00+00:00,2025-10-20T04:00:00+00:00,2025-10-21T08:00:00+00:00,110945.0,108677.0,628.1756000000004,43.924400000000006,bid
29,bear,26,2025-10-21T16:00:00+00:00,2025-10-22T12:00:00+00:00,2025-10-21T16:00:00+00:00,2025-10-22T12:00:00+00:00,114219.0,108125.0,4017.6187000000014,44.4688,bid
30,bear,27,2025-11-09T16:00:00+00:00,2025-11-11T20:00:00+00:00,2025-11-09T16:00:00+00:00,2025-11-11T20:00:00+00:00,104314.0,103677.0,1.2452999999990375,41.598200000000006,bid
31,bear,28,2026-01-28T00:00:00+00:00,2026-01-29T04:00:00+00:00,2026-01-28T00:00:00+00:00,2026-01-29T04:00:00+00:00,89477.0,88206.0,552.2904000000002,35.53660000000001,bid
32,bear,29,2026-01-28T12:00:00+00:00,2026-01-29T04:00:00+00:00,2026-01-28T12:00:00+00:00,2026-01-29T04:00:00+00:00,90298.0,88205.0,1193.3388999999997,35.7006,bid
33,bear,30,2026-02-14T08:00:00+00:00,2026-02-16T16:00:00+00:00,2026-02-14T08:00:00+00:00,2026-02-16T16:00:00+00:00,69318.0,67658.0,707.5378,27.395200000000003,bid
34,bear,31,2026-02-21T16:00:00+00:00,2026-02-23T04:00:00+00:00,2026-02-21T16:00:00+00:00,2026-02-23T04:00:00+00:00,68781.0,65015.0,2355.0192999999995,26.7592,bid
35,bear,32,2026-02-25T16:00:00+00:00,2026-02-27T20:00:00+00:00,2026-02-25T16:00:00+00:00,2026-02-27T20:00:00+00:00,67463.0,65420.0,1029.4468999999992,26.576600000000003,bid
36,bear,33,2026-02-26T20:00:00+00:00,2026-02-27T20:00:00+00:00,2026-02-26T20:00:00+00:00,2026-02-27T20:00:00+00:00,67608.0,65403.0,1066.1147999999996,26.602200000000003,bid
37,bear,34,2026-02-27T04:00:00+00:00,2026-02-27T20:00:00+00:00,2026-02-27T04:00:00+00:00,2026-02-27T20:00:00+00:00,67607.0,65403.0,1201.3969999999997,26.602,bid
38,bull,4,2026-03-02T04:00:00+00:00,2026-03-02T08:00:00+00:00,2026-03-02T04:00:00+00:00,2026-03-02T08:00:00+00:00,66817.0,66013.0,-1102.4295,26.566000000000003,bid
39,bull,5,2026-03-02T12:00:00+00:00,2026-03-06T20:00:00+00:00,2026-03-02T12:00:00+00:00,2026-03-06T20:00:00+00:00,66388.0,68157.0,830.2594999999998,26.909000000000002,bid
40,bull,6,2026-03-10T04:00:00+00:00,2026-03-18T20:00:00+00:00,2026-03-10T04:00:00+00:00,2026-03-18T20:00:00+00:00,69487.0,71113.0,240.93400000000008,28.12,bid
41,bear,35,2026-03-23T20:00:00+00:00,2026-03-24T20:00:00+00:00,2026-03-23T20:00:00+00:00,2026-03-24T20:00:00+00:00,70814.0,69452.0,725.6888000000002,28.053200000000004,bid
42,bear,36,2026-03-24T08:00:00+00:00,2026-03-24T20:00:00+00:00,2026-03-24T08:00:00+00:00,2026-03-24T20:00:00+00:00,71417.0,69452.0,1048.0597000000002,28.1738,bid
43,bear,37,2026-03-25T08:00:00+00:00,2026-03-26T12:00:00+00:00,2026-03-25T08:00:00+00:00,2026-03-26T12:00:00+00:00,71011.0,69314.0,805.7224999999995,28.065,bid
44,bear,38,2026-03-26T00:00:00+00:00,2026-03-26T12:00:00+00:00,2026-03-26T00:00:00+00:00,2026-03-26T12:00:00+00:00,71425.0,69322.0,1179.5355999999995,28.1494,bid
45,bear,39,2026-04-01T00:00:00+00:00,2026-04-02T04:00:00+00:00,2026-04-01T00:00:00+00:00,2026-04-02T04:00:00+00:00,68295.0,66579.0,779.8631999999998,26.974800000000002,bid
46,bull,7,2026-04-05T20:00:00+00:00,2026-04-12T20:00:00+00:00,2026-04-05T20:00:00+00:00,2026-04-12T20:00:00+00:00,67385.0,71088.0,2241.2254000000007,27.6946,bid
